strain,country,location,date,day_occurence,lon,lat
Germany/NRW-09/2020,Germany,"Heinsberg, Germany",2020-02-28,66,6.0984461,51.0654268
Germany/NRW-10/2020,Germany,"Heinsberg, Germany",2020-02-28,66,6.0984461,51.0654268
Germany/NRW-05/2020,Germany,"Heinsberg, Germany",2020-02-26,64,6.0984461,51.0654268
Germany/NRW-06/2020,Germany,"Heinsberg, Germany",2020-02-27,65,6.0984461,51.0654268
Germany/NRW-03/2020,Germany,"Heinsberg, Germany",2020-02-26,64,6.0984461,51.0654268
Germany/NRW-02-1/2020,Germany,"Heinsberg, Germany",2020-02-25,63,6.0984461,51.0654268
Germany/NRW-04/2020,Germany,"Heinsberg, Germany",2020-02-26,64,6.0984461,51.0654268
Germany/NRW-07/2020,Germany,"Heinsberg, Germany",2020-02-27,65,6.0984461,51.0654268
Germany/NRW-08/2020,Germany,"Heinsberg, Germany",2020-02-27,65,6.0984461,51.0654268
Germany/NRW-01/2020,Germany,"Heinsberg, Germany",2020-02-28,66,6.0984461,51.0654268
Netherlands/Limburg_4/2020,Netherlands,"?, Netherlands",2020-03-03,70,5.7480821,52.5001698
